Host,Category
Rosie O'Donnell,Comedian
Kevin Spacey,Actor
David Alan Grier,Actor
Neve Campbell,Actor
Chevy Chase,Actor
Alec Baldwin,Actor
Sting,Musician
Mike Myers,Actor
Rob Lowe,Actor
Pamela Lee,Actor
John Goodman,Actor
Jeff Goldblum,Actor
Sylvester Stallone,Actor
Matthew Perry,Actor
Brendan Fraser,Actor
Chris Farley,Actor
Jon Lovitz,Actor
Claire Danes,Actor
Mayor Rudy Giuliani,Other
Nathan Lane,Actor
Helen Hunt,Actor
Samuel L. Jackson,Actor
Sarah Michelle Gellar,Actor
John Goodman,Actor
Roma Downey,Actor
Garth Brooks,Musician
Scott Wolf,Actor
Julianne Moore,Actor
Steve Buscemi,Actor
Greg Kinnear,Actor
Matthew Broderick,Actor
David Duchovny,Actor
Cameron Diaz,Actor
Kelsey Grammer,Actor
Lucy Lawless,Actor
Ben Stiller,Actor
David Spade,Actor
Joan Allen,Actor
Jennifer Love Hewitt,Actor
Vince Vaughn,Actor
Alec Baldwin,Actor
Bill Paxton,Actor
James Van Der Beek,Actor
Gwyneth Paltrow,Actor
Brendan Fraser,Actor
Bill Murray,Actor
Ray Romano,Actor
Drew Barrymore,Actor
John Goodman,Actor
"Cuba Gooding, Jr.",Actor
Sarah Michelle Gellar,Actor
Jerry Seinfeld,Actor
Heather Graham,Actor
Norm Macdonald,Comedian
Dylan McDermott,Actor
Garth Brooks,Musician
Jennifer Aniston,Actor
Christina Ricci,Actor
Danny DeVito,Actor
Jamie Foxx,Actor
"Freddie Prinze, Jr.",Actor
Alan Cumming,Actor
Julianna Margulies,Actor
Ben Affleck,Actor
Joshua Jackson,Actor
The Rock,Actor
Christopher Walken,Actor
Tobey Maguire,Actor
John Goodman,Actor
Britney Spears,Musician
Jackie Chan,Actor
Rob Lowe,Actor
Kate Hudson,Actor
Dana Carvey,Comedian
Charlize Theron,Actor
Calista Flockhart,Actor
Tom Green,Comedian
Val Kilmer,Actor
Lucy Liu,Actor
Charlie Sheen,Actor
Mena Suvari,Actor
Jennifer Lopez,Musician
Sean Hayes,Actor
Katie Holmes,Actor
Conan O'Brien,Other
Julia Stiles,Actor
Alec Baldwin,Actor
Renée Zellweger,Actor
Pierce Brosnan,Actor
Lara Flynn Boyle,Actor
Christopher Walken,Actor
Reese Witherspoon,Actor
Seann William Scott,Actor
Drew Barrymore,Actor
John Goodman,Actor
Gwyneth Paltrow,Actor
Billy Bob Thornton,Actor
Derek Jeter,Other
Hugh Jackman,Actor
Ellen Degeneres,Comedian
Josh Hartnett,Actor
Jack Black,Actor
Britney Spears,Actor
Jonny Moseley,Other
Jon Stewart,Comedian
Ian McKellen,Actor
Cameron Diaz,Actor
The Rock,Actor
Alec Baldwin,Actor
Kirsten Dunst,Actor
Winona Ryder,Actor
Matt Damon,Actor
Sarah Michelle Gellar,Actor
Senator John McCain,Other
Eric McCormack,Actor
Nia Vardalos,Actor
Brittany Murphy,Actor
Robert De Niro,Actor
Al Gore,Other
Jeff Gordon,Other
Ray Liotta,Actor
Matthew McConaughey,Actor
Jennifer Garner,Actor
Christopher Walken,Actor
Queen Latifah,Musician
Salma Hayek,Actor
Bernie Mac,Comedian
Ray Romano,Actor
Ashton Kutcher,Actor
Adrien Brody,Actor
Dan Aykroyd,Actor
Jack Black,Actor
Justin Timberlake,Musician
Halle Berry,Actor
Kelly Ripa,Actor
Andy Roddick,Other
Alec Baldwin,Actor
Al Sharpton,Other
Elijah Wood,Actor
Jennifer Aniston,Actor
Jessica Simpson and Nick Lachey,Musician
Megan Mullally,Actor
Drew Barrymore,Actor
Christina Aguilera,Musician
Colin Firth,Actor
Ben Affleck,Actor
Donald Trump,Other
Janet Jackson,Musician
Lindsay Lohan,Actor
Snoop Dogg,Musician
Mary-Kate & Ashley Olsen,Actor
Ben Affleck,Actor
Queen Latifah,Musician
Jude Law,Actor
Kate Winslet,Actor
Liam Neeson,Actor
Luke Wilson,Actor
Colin Farrell,Actor
Robert De Niro,Actor
Topher Grace,Actor
Paul Giamatti,Actor
Paris Hilton,Actor
Jason Bateman,Actor
Hilary Swank,Actor
David Spade,Actor
Ashton Kutcher,Actor
Cameron Diaz,Actor
Tom Brady,Other
Johnny Knoxville,Other
Will Ferrell,Actor
Lindsay Lohan,Actor
Steve Carell,Actor
Jon Heder,Actor
Catherine Zeta-Jones,Actor
Lance Armstrong,Other
Jason Lee,Actor
Eva Longoria,Actor
Dane Cook,Comedian
Alec Baldwin,Actor
Jack Black,Actor
Scarlett Johansson,Actor
Peter Sarsgaard,Actor
Steve Martin,Comedian
Natalie Portman,Actor
Matt Dillon,Actor
Antonio Banderas,Actor
Lindsay Lohan,Actor
Tom Hanks,Actor
Julia Louis-Dreyfus,Actor
Kevin Spacey,Actor
Dane Cook,Comedian
Jaime Pressly,Actor
John C. Reilly,Actor
Hugh Laurie,Actor
Alec Baldwin,Actor
Chris 'Ludacris' Bridges,Musician
Matthew Fox,Actor
Annette Bening,Actor
Justin Timberlake,Musician
Jake Gyllenhaal,Actor
Jeremy Piven,Actor
Drew Barrymore,Actor
Forest Whitaker,Actor
Rainn Wilson,Actor
Julia Louis-Dreyfus,Actor
Peyton Manning,Other
Shia LaBeouf,Actor
Scarlett Johansson,Actor
Molly Shannon,Actor
Zach Braff,Actor
LeBron James,Other
Seth Rogen,Actor
Jon Bon Jovi,Musician
Brian Williams,Other
Tina Fey,Actor
Ellen Page,Actor
Amy Adams,Actor
Jonah Hill,Actor
Christopher Walken,Actor
Ashton Kutcher,Actor
Shia LaBeouf,Actor
Steve Carell,Actor
Michael Phelps,Other
James Franco,Actor
Anna Faris,Actor
Anne Hathaway,Actor
Josh Brolin,Actor
Jon Hamm,Actor
Ben Affleck,Actor
Paul Rudd,Actor
Tim McGraw,Musician
John Malkovich,Actor
Hugh Laurie,Actor
Neil Patrick Harris,Actor
Rosario Dawson,Actor
Steve Martin,Comedian
Bradley Cooper,Actor
Alec Baldwin,Actor
Dwayne Johnson,Actor
Tracy Morgan,Comedian
Seth Rogen,Actor
Zac Efron,Actor
Justin Timberlake,Musician
Will Ferrell,Actor
Megan Fox,Actor
Ryan Reynolds,Actor
Drew Barrymore,Actor
Gerard Butler,Actor
Taylor Swift,Musician
January Jones,Actor
Joseph Gordon-Levitt,Actor
Blake Lively,Actor
Taylor Lautner,Actor
James Franco,Actor
Charles Barkley,Other
Sigourney Weaver,Actor
Jon Hamm,Actor
Ashton Kutcher,Actor
Jennifer Lopez,Musician
Zach Galifianakis,Comedian
Jude Law,Actor
Tina Fey,Actor
Ryan Phillippe,Actor
Gabourey Sidibe,Actor
Betty White,Actor
Alec Baldwin,Actor
Amy Poehler,Actor
Bryan Cranston,Actor
Jane Lynch,Actor
Emma Stone,Actor
Jon Hamm,Actor
Scarlett Johansson,Actor
Anne Hathaway,Actor
Robert De Niro,Actor
Paul Rudd,Actor
Jeff Bridges,Actor
Jim Carrey,Actor
Gwyneth Paltrow,Actor
Jesse Eisenberg,Actor
Dana Carvey,Comedian
Russell Brand,Actor
Miley Cyrus,Musician
Zach Galifianakis,Comedian
Elton John,Musician
Helen Mirren,Actor
Tina Fey,Actor
Ed Helms,Actor
Justin Timberlake,Musician
Alec Baldwin,Actor
Melissa McCarthy,Actor
Ben Stiller,Actor
Anna Faris,Actor
Charlie Day,Actor
Emma Stone,Actor
Jason Segel,Actor
Steve Buscemi,Actor
Katy Perry,Musician
Jimmy Fallon,Other
Charles Barkley,Other
Daniel Radcliffe,Actor
Channing Tatum,Actor
Zooey Deschanel,Actor
Maya Rudolph,Actor
Lindsay Lohan,Actor
Jonah Hill,Actor
Sofía Vergara,Actor
Josh Brolin,Actor
Eli Manning,Other
Will Ferrell,Actor
Mick Jagger,Musician
Seth MacFarlane,Actor
Joseph Gordon-Levitt,Actor
Daniel Craig,Actor
Christina Applegate,Actor
Bruno Mars,Musician
Louis C.K.,Comedian
Anne Hathaway,Actor
Jeremy Renner,Actor
Jamie Foxx,Actor
Martin Short,Actor
Jennifer Lawrence,Actor
Adam Levine,Musician
Justin Bieber,Musician
Christoph Waltz,Actor
Kevin Hart,Comedian
Justin Timberlake,Musician
Melissa McCarthy,Actor
Vince Vaughn,Actor
Zach Galifianakis,Comedian
Kristen Wiig,Actor
Ben Affleck,Actor
Tina Fey,Actor
Miley Cyrus,Musician
Bruce Willis,Actor
Edward Norton,Actor
Kerry Washington,Actor
Lady Gaga,Musician
Josh Hutcherson,Actor
Paul Rudd,Actor
John Goodman,Actor
Jimmy Fallon,Other
Drake,Musician
Jonah Hill,Actor
Melissa McCarthy,Actor
Jim Parsons,Actor
Lena Dunham,Other
Louis C.K.,Comedian
Anna Kendrick,Actor
Seth Rogen,Actor
Andrew Garfield,Actor
Charlize Theron,Actor
Andy Samberg,Actor
Chris Pratt,Actor
Sarah Silverman,Comedian
Bill Hader,Actor
Jim Carrey,Actor
Chris Rock,Comedian
Woody Harrelson,Actor
Cameron Diaz,Actor
James Franco,Actor
Martin Freeman,Actor
Amy Adams,Actor
Kevin Hart,Comedian
Blake Shelton,Musician
J.K. Simmons,Actor
Dakota Johnson,Actor
Chris Hemsworth,Actor
Dwayne Johnson,Actor
Michael Keaton,Actor
Taraji P. Henson,Actor
Scarlett Johansson,Actor
Reese Witherspoon,Actor
Louis C.K.,Comedian
Miley Cyrus,Musician
Amy Schumer,Comedian
Tracy Morgan,Comedian
Donald Trump,Other
Elizabeth Banks,Actor
Matthew McConaughey,Actor
Ryan Gosling,Actor
Chris Hemsworth,Actor
Tina Fey & Amy Poehler,Actor
Adam Driver,Actor
Ronda Rousey,Actor
Larry David,Comedian
Melissa McCarthy,Actor
Jonah Hill,Actor
Ariana Grande,Musician
Peter Dinklage,Actor
Russell Crowe,Actor
Julia Louis-Dreyfus,Actor
Brie Larson,Actor
Drake,Musician
Fred Armisen,Comedian
Margot Robbie,Actor
Lin-Manuel Miranda,Musician
Emily Blunt,Actor
Tom Hanks,Actor
Benedict Cumberbatch,Actor
Dave Chappelle,Comedian
Kristen Wiig,Actor
Emma Stone,Actor
John Cena,Actor
Casey Affleck,Actor
Felicity Jones,Actor
Aziz Ansari,Actor
Kristen Stewart,Actor
Alec Baldwin,Actor
Octavia Spencer,Actor
Scarlett Johansson,Actor
Louis C.K.,Comedian
Jimmy Fallon,Comedian
Chris Pine,Actor
Melissa McCarthy,Actor
Dwayne Johnson,Actor
Ryan Gosling,Actor
Gal Gadot,Actor
Kumail Nanjiani,Actor
Larry David,Comedian
Tiffany Haddish,Comedian
Chance the Rapper,Musician
Saoirse Ronan,Actor
James Franco,Actor
Kevin Hart,Comedian
Sam Rockwell,Actor
Jessica Chastain,Actor
Will Ferrell,Actor
Natalie Portman,Actor
Charles Barkley,Other
Sterling K. Brown,Actor
Bill Hader,Actor
Chadwick Boseman,Actor
John Mulaney,Comedian
Donald Glover,Actor
Amy Schumer,Comedian
Tina Fey,Actor
Adam Driver,Actor
Awkwafina,Actor
Seth Meyers,Comedian
Jonah Hill,Musician
Liev Schreiber,Actor
Steve Carell,Actor
Claire Foy,Actor
Jason Momoa,Actor
Matt Damon,Actor
Rachel Brosnahan,Other
James McAvoy,Actor
Halsey,Musician
Don Cheadle,Comedian
John Mulaney,Comedian
Idris Elba,Actor
Sandra Oh,Actor
Kit Harington,Actor
Emma Stone,Actor
Adam Sandler,Comedian
Emma Thompson,Actor
Paul Rudd,Actor
Woody Harrelson,Actor
Phoebe Waller-Bridge,Actor
David Harbour,Actor
Chance the Rapper,Musician
Kristen Stewart,Actor
Harry Styles,Musician
Will Ferrell,Musician
Jennifer Lopez,Musician
Scarlett Johansson,Actor
Eddie Murphy,Actor
Adam Driver,Actor
JJ Watt,Other
RuPaul,Other
John Mulaney,Comedian
Daniel Craig,Actor
Tom Hanks,Actor
Brad Pitt,Actor
Kristen Wiig,Actor
Chris Rock,Comedian
Bill Burr,Comedian
Issa Rae,Actor
Adele,Musician
John Mulaney,Comedian
Dave Chappelle,Comedian
Jason Bateman,Actor
Timothée Chalamet,Actor
Kristen Wiig,Actor
John Krasinski,Actor
Dan Levy,Actor
Regina King,Actor
Regé-Jean Page,Actor
Nick Jonas,Musician
Maya Rudolph,Actor
Daniel Kaluuya,Actor
Carey Mulligan,Actor
Elon Musk,Other
Keegan-Michael Key,Actor
Anya Taylor-Joy,Actor
Owen Wilson,Actor
Kim Kardashian West,Other
Rami Malek,Actor
Jason Sudeikis,Actor
Kieran Culkin,Actor
Jonathan Majors,Actor
Simu Liu,Actor
Billie Eilish,Musician
Paul Rudd,Actor
Ariana DeBose,Actor
Will Forte,Comedian
Willem Dafoe,Actor
John Mulaney,Comedian
Oscar Isaac,Actor
Zoë Kravitz,Actor
Jerrod Carmichael,Comedian
Jake Gyllenhaal,Actor
Lizzo,Musician
Benedict Cumberbatch,Actor
Selena Gomez,Musician
Natasha Lyonne,Actor
Miles Teller,Actor
Brendan Gleeson,Actor
Megan Thee Stallion,Musician
Jack Harlow,Musician
Amy Schumer,Comedian
Dave Chappelle,Comedian
Keke Palmer,Actor
Steve Martin and Martin Short,Comedian
Austin Butler,Actor
Aubrey Plaza,Actor
Michael B. Jordan,Actor
